zone_id,cluster_center_lat,cluster_center_lng,avg_risk,cluster_size
ZONE_0,23.02515,72.56665000000001,32.044230831406615,6
ZONE_1,12.966625,77.59635,22.687460994314158,8
ZONE_2,23.242499999999996,77.38326666666667,26.25600055318688,6
ZONE_3,30.799342857142857,76.82282857142856,22.48211091963941,7
ZONE_4,13.081485714285716,80.27594285714285,28.514204321409384,7
ZONE_5,10.9904,76.97885000000001,37.10780592533872,6
ZONE_6,28.594853846153846,77.16980769230769,20.73195297526826,13
ZONE_7,26.164316666666668,91.71909999999998,29.924059478490772,6
ZONE_8,17.394,78.47077142857142,26.03004516979313,7
ZONE_9,22.709099999999996,75.84750000000001,24.268643439856234,6
ZONE_10,26.909950000000006,75.77166666666666,35.25122549065603,6
ZONE_11,9.920066666666667,76.26873333333333,30.378086653708923,6
ZONE_12,22.561049999999998,88.38119999999999,32.11329781999877,6
ZONE_13,26.837957142857146,80.96211428571429,40.095431603699765,7
ZONE_14,19.078044444444444,72.85926666666666,17.8031204198313,9
ZONE_15,21.128283333333332,79.1077,32.596072196193035,6
ZONE_16,25.576283333333336,85.11936666666666,33.59026695754692,6
ZONE_17,18.544933333333333,73.82746666666667,33.04043280290634,6
ZONE_18,21.15635,72.85385000000001,35.542974127879305,6
ZONE_19,17.6991,83.21145,27.215924367629487,6
